"","ï..Organization","Type","Loation","Website","Twitter","Facebook","People","Likely.Inactive","Last.Mode","OrgCity","lon","lat","type","loctype","address","north","south","east","west"
"1","3min.life","Community, Advocacy","","https://3min.life","","","","","","3min.life , ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ABC Techno Labs","Industry","","https://abctechnolab.com/air-quality-analysis/","","","","","","ABC Techno Labs , ",73.0385446,19.0173329,"establishment","rooftop","balaji bhavan, sakal bhavan rd, sector 11, cbd belapur, navi mumbai, maharashtra 400614, india",19.0186818802915,19.0159839197085,73.0398935802915,73.0371956197085
"3","Aeroqual","Industry, Global","","https://www.aeroqual.com/","","","","","","Aeroqual , ",174.6728506,-36.880202,"establishment","rooftop","460 rosebank road, avondale, auckland 1026, new zealand",-36.8788530197085,-36.8815509802915,174.674199580292,174.671501619708
"4","Air Quality Monitors","Global, Industry","","https://www.airmonitors.co.uk/","https://twitter.com/airmonitors","https://www.facebook.com/AirMonitors/","","","","Air Quality Monitors , ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","AirOk Technologies","Industry","","http://airoktech.com/","https://twitter.com/AirOK_purifiers","https://www.facebook.com/AirOK.Airpurifers/","","","","AirOk Technologies , ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","AirPollution.io","Public Engagement & Awareness","Toronto, Canada","https://www.airpollution.io/","","","Amrit Sharma","","9/1/2020 3:05pm","AirPollution.io , Toronto, Canada",-79.3831843,43.653226,"locality","approximate","toronto, on, canada",43.8554579,43.5810245,-79.1168971,-79.639219
"7","Airveda","Industry","","http://www.airveda.com/","https://twitter.com/airveda","https://www.facebook.com/airvedaindia/","","","","Airveda , ",77.3232749,28.6484529,"establishment","geometric_center","sahibabad industrial area, site iv, maharajpur, sahibabad industrial area site 4, sahibabad, ghaziabad, uttar pradesh 201010, india",28.6498018802915,28.6471039197085,77.3246238802915,77.3219259197085
"8","Ambee","Industry","","https://getambee.com/","https://twitter.com/get_ambee","https://www.facebook.com/getambee/","","","8/28/2019 2:06am","Ambee , ",-79.7393303,43.7508309,"establishment","rooftop","2250 bovaird dr e # 604, brampton, on l6r 2t3, canada",43.7521798802915,43.7494819197085,-79.7379813197085,-79.7406792802915
"9","American Air Filter","Industry","","https://www.aafintl.com/","https://twitter.com/AAF_EMEA_CIS_IN","https://www.facebook.com/airqualityadvisor/","Manisha Pareek","","8/30/2019 10:50pm","American Air Filter , ",-94.1370849,36.0378112,"establishment","rooftop","2355 s armstrong ave, fayetteville, ar 72701, usa",36.0391601802915,36.0364622197085,-94.1357359197085,-94.1384338802915
"10","Society for Indoor Environment","","","","","","","","9/1/2020 4:28pm","Society for Indoor Environment , ",NA,NA,NA,NA,NA,NA,NA,NA,NA
