Organization,Type,Loation,Website,Twitter,Facebook,People,Likely Inactive,Last Mode
3min.life,"Community, Advocacy",,https://3min.life,,,,,
ABC Techno Labs,Industry,,https://abctechnolab.com/air-quality-analysis/,,,,,
Aeroqual,"Industry, Global",,https://www.aeroqual.com/,,,,,
Air Quality Monitors,"Global, Industry",,https://www.airmonitors.co.uk/,https://twitter.com/airmonitors,https://www.facebook.com/AirMonitors/,,,
AirOk Technologies,Industry,,http://airoktech.com/,https://twitter.com/AirOK_purifiers,https://www.facebook.com/AirOK.Airpurifers/,,,
AirPollution.io,Public Engagement & Awareness,"Toronto, Canada",https://www.airpollution.io/,,,Amrit Sharma,,9/1/2020 3:05pm
Airveda,Industry,,http://www.airveda.com/,https://twitter.com/airveda,https://www.facebook.com/airvedaindia/,,,
Ambee,Industry,,https://getambee.com/,https://twitter.com/get_ambee,https://www.facebook.com/getambee/,,,8/28/2019 2:06am
American Air Filter,Industry,,https://www.aafintl.com/,https://twitter.com/AAF_EMEA_CIS_IN,https://www.facebook.com/airqualityadvisor/,Manisha Pareek,,8/30/2019 10:50pm
Society for Indoor Environment,,,,,,,,9/1/2020 4:28pm
Fridays for Future India,,,,,,,,9/1/2020 4:00pm
Let India Breathe,,,,,,,,9/1/2020 4:00pm
Anti Pollution Drive Foundation (APD)  ,Public Engagement & Awareness,Mangaluru,https://antipollution.org/,,,,,9/1/2020 3:37pm
APD Foundation,"Public Engagement & Awareness, Advocacy",,https://antipollution.org/our-mission/,,https://www.facebook.com/antipollutiondrive,,,8/17/2019 2:36am
AQI India,"Open data, Public Engagement & Awareness",,https://www.aqi.in/,https://twitter.com/AQI_India,https://www.facebook.com/aqiindia/,,,8/17/2019 1:54am
Asar,"Public Engagement & Awareness, Advocacy",Delhi,http://asar.co.in,,,Brikesh Singh,,9/1/2020 3:02pm
Asian Development Research Institute (ADRI),"Research, Non Profit",,https://www.adriindia.org/,https://twitter.com/ADRIPatna,https://www.facebook.com/AsianDevelopmentResearchInstitute,,,8/17/2019 2:38am
Awaaz Foundation,,,,,,,,9/1/2020 3:29pm
Azim Premji Philanthropic Initiatives,Foundation,Bengaluru,,,,,checked,9/1/2020 3:07pm
Bloomberg Philanthropies,"International, Foundation",,https://www.bloomberg.org/,https://twitter.com/bloombergdotorg,https://www.facebook.com/bloombergdotorg,"Puja Tewary, Priya Shankar",,8/28/2019 7:14pm
Blue Sky Analytics ,"Public Engagement & Awareness, Open data, Start-up, Industry",Gurugram,https://breezo.in/,,,,,9/1/2020 3:02pm
BreathEasy Labs,Industry,,https://breatheeasylabs.com/,https://twitter.com/BreatheEasyLabs,https://www.facebook.com/breatheeasylabs/,,,
Brookings India ,Policy,Delhi,https://www.brookings.edu/center/brookings-india/,https://twitter.com/BrookingsInst,https://www.facebook.com/brookings,,,9/1/2020 3:10pm
Care for Air India,"Community, Education, Public Engagement & Awareness",Delhi,http://www.careforair.org,https://twitter.com/CareForAirIndia,https://www.facebook.com/careforairindia/?fref=tsfacebook.com,Jyoti Pande ,,9/1/2020 3:10pm
Center for Research on Energy and Clean Air (CREA),"Policy, Advocacy",,https://energyandcleanair.org/,https://twitter.com/CREACleanAir,,Sunil Dahiya,,9/1/2020 3:13pm
"Center for Study on Science, Technology and Policy (CSTEP)","Policy, Non Profit, Research, Consulting",Bengaluru,http://www.cstep.in,https://twitter.com/CSTEPBangalore,,Pratima Singh,,9/1/2020 3:10pm
"Center of Excellence for Research on Clean Air (CERCA), IIT-Delhi","Research, Government",Delhi,http://www.iitd.ac.in/content/center-excellence-research-clean-air,,,Sagnik Dey,,9/1/2020 3:10pm
Central Pollution Control Board (CPCB) ,Government,Delhi,http://cpcb.nic.in/,,,,,9/1/2020 3:10pm
Central Road Research Institute (CRRI),"Government, Research",Delhi,http://www.crridom.gov.in,https://twitter.com/CSIRCRRI,https://www.facebook.com/CSIR.CRRI.INDIA/,,,9/1/2020 3:10pm
Centre for Chronic Disease Control (CCDC),"Research, Public Engagement & Awareness",Delhi,http://www.ccdcindia.org/,,,,,9/1/2020 3:13pm
Centre for Environment and Energy Development (CEED) ,"Non Profit, Public Engagement & Awareness",Patna/Delhi,http://ceedindia.org/,https://twitter.com/CEED_India,,,,9/1/2020 3:11pm
Centre for Environment Education (CEE),"Public Engagement & Awareness, Education",Pune,https://www.ceeindia.org/#,,,Sanskriti Menon,,9/1/2020 3:10pm
Centre for Policy Research  (CPR),"Policy, Research",Delhi,http://www.cprindia.org,https://twitter.com/cpr_india,https://www.facebook.com/CentreforPolicyResearch/?ref=bookmarks,"Santosh Harish, Mandakini Chandra",,9/1/2020 3:12pm
Centre for Science and Environment (CSE),Non Profit,Delhi,http://www.cseindia.org/,https://twitter.com/cseindia?lang=en,,,,9/1/2020 3:11pm
Chakr Innovation Pvt Ltd,"Industry, Start-up",Gurugram,https://chakr.in/,https://twitter.com/ChakrInnovation,https://www.facebook.com/chakrinnovation/,,,9/1/2020 3:14pm
Chest Research Foundation (CRF) ,Research,Pune,http://www.crfindia.com/CommonCMS/Home.aspx,,,Sundeep Salvi,,9/1/2020 3:11pm
Children's Investment Fund Foundation (CIFF) ,"International, Foundation",Delhi,https://ciff.org/,https://twitter.com/ciffchild,https://www.facebook.com/ciffglobal,,,9/1/2020 3:11pm
Chintan,"Advocacy, Policy, Non Profit",Delhi,http://www.chintan-india.org,https://twitter.com/ChintanIndia,,,,9/1/2020 3:11pm
Citizen consumer and civic Action Group (CAG) ,"Advocacy, Non Profit",Chennai,https://www.cag.org.in/,https://twitter.com/cagchennai,https://www.facebook.com/CAGChennai,Niraj Bhatt,,9/1/2020 3:09pm
Clarity ,"Industry, Start-up",,https://clarity.io/,https://twitter.com/JoinClarity,https://www.facebook.com/claritymovement/,Sean Wihera ,,8/30/2019 10:48pm
Clean Air Asia- India ,Non Profit,Delhi,https://cleanairasia.org/india/,https://twitter.com/cleanairasia,,,,9/1/2020 3:11pm
Clean Air Fund (CAF),Funder,Delhi,,,,Reecha Upadhyay,,9/1/2020 3:11pm
Clean Air Platform Bengaluru ,Funder,,https://cleanairplatform.org/,https://twitter.com/cleanairplatfrm,https://www.facebook.com/Clean-Air-Platform-288214088532029/,,checked,9/1/2020 3:11pm
Climate and Clean Air Coalition (CCAC),International,Global,https://ccacoalition.org/en,https://twitter.com/ccacoalition,https://www.facebook.com/ccacoalition,,,9/1/2020 3:11pm
